"","x"
"2009",32
"2010",31
"2011",25
"2012",33
"2013",39
"2014",17
"2015",7
"2016",41
"2017",26
"2018",21
"2019",45
"2020",44
"2021",26
"2022",15
"2023",14
"2024",18
"2025",21
"2026",29
"2027",20
"2028",36
"2029",28
"2030",27
"2031",23
"2032",61
"2033",13
"2034",9
"2035",29
"2036",35
"2037",24
"2038",21
"2039",14
"2040",28
"2041",30
"2042",12
"2043",18
"2044",37
"2045",5
"2046",16
"2047",22
"2048",37
"2049",23
"2050",28
"2051",34
"2052",25
"2053",18
"2054",43
"2055",18
"2056",30
"2057",25
"2058",18
"2059",16
"2060",21
"2061",30
"2062",22
"2063",39
"2064",25
"2065",16
"2066",16
"2067",10
"2068",8
"2069",30
"2070",23
"2071",14
"2072",26
"2073",14
"2074",24
"2075",49
"2076",23
"2077",15
"2078",28
"2079",34
"2080",26
"2081",8
"2082",34
"2083",11
"2084",31
"2085",26
"2086",25
"2087",15
"2088",31
"2089",21
"2090",32
"2091",11
"2092",14
"2093",23
"2094",28
"2095",18
"2096",36
"2097",26
"2098",20
"2099",31
"2100",9
"2101",38
"2102",21
"2103",13
"2104",13
"2105",28
"2106",11
"2107",15
"2108",27
"2109",31
"2110",37
"2111",13
"2112",29
"2113",14
"2114",29
"2115",17
"2116",29
"2117",25
"2118",16
"2119",5
"2120",42
"2121",19
"2122",13
"2123",20
"2124",24
"2125",15
"2126",35
"2127",24
"2128",24
"2129",32
"2130",32
"2131",32
"2132",35
"2133",26
"2134",48
"2135",26
"2136",33
"2137",50
"2138",28
"2139",18
"2140",13
"2141",30
"2142",11
"2143",14
"2144",32
"2145",21
"2146",16
"2147",33
"2148",21
"2149",24
"2150",11
"2151",36
"2152",23
"2153",21
"2154",12
"2155",3
"2156",41
"2157",24
"2158",20
"2159",13
"2160",27
"2161",23
"2162",17
"2163",21
"2164",12
"2165",7
"2166",30
"2167",21
"2168",23
"2169",23
"2170",11
"2171",39
"2172",19
"2173",35
"2174",21
"2175",10
"2176",33
"2177",25
"2178",19
"2179",13
"2180",32
"2181",26
"2182",18
"2183",38
"2184",20
"2185",35
"2186",26
"2187",17
"2188",29
"2189",29
"2190",28
"2191",21
"2192",24
"2193",43
"2194",47
"2195",10
"2196",23
"2197",26
"2198",22
"2199",22
"2200",20
"2201",20
"2202",17
"2203",24
"2204",18
"2205",10
"2206",25
"2207",33
"2208",29
"2209",23
"2210",46
"2211",35
"2212",22
"2213",32
"2214",36
"2215",9
"2216",28
"2217",30
"2218",21
"2219",30
"2220",33
"2221",4
"2222",33
"2223",25
"2224",36
"2225",16
"2226",32
"2227",15
"2228",23
"2229",49
"2230",38
"2231",38
"2232",24
"2233",3
"2234",73
"2235",20
"2236",22
"2237",45
"2238",32
"2239",15
"2240",27
"2241",29
"2242",14
"2243",32
"2244",47
"2245",14
"2246",16
"2247",29
"2248",22
"2249",27
"2250",42
"2251",12
"2252",22
"2253",15
"2254",17
"2255",24
"2256",12
"2257",21
"2258",43
"2259",34
"2260",39
"2261",25
"2262",63
"2263",31
"2264",32
"2265",23
"2266",23
"2267",50
"2268",26
"2269",29
"2270",6
"2271",37
"2272",14
"2273",40
"2274",16
"2275",8
"2276",28
"2277",28
"2278",15
"2279",20
"2280",32
"2281",17
"2282",13
"2283",24
"2284",24
"2285",15
"2286",10
"2287",8
"2288",20
"2289",45
"2290",28
"2291",29
"2292",28
"2293",28
"2294",7
"2295",29
"2296",22
"2297",35
"2298",8
"2299",16
"2300",17
"2301",59
"2302",23
"2303",16
"2304",23
"2305",29
"2306",29
"2307",8
"2308",40
"2309",16
"2310",18
"2311",14
"2312",47
"2313",11
"2314",37
"2315",24
"2316",38
"2317",27
"2318",25
"2319",47
"2320",14
"2321",27
"2322",15
"2323",30
"2324",33
"2325",25
"2326",40
"2327",13
"2328",13
"2329",17
"2330",17
"2331",39
"2332",41
"2333",18
"2334",9
"2335",29
"2336",29
"2337",12
"2338",25
"2339",19
"2340",37
"2341",24
"2342",30
"2343",18
"2344",21
"2345",19
"2346",28
"2347",26
"2348",23
"2349",18
"2350",21
"2351",21
"2352",24
"2353",21
"2354",30
"2355",47
"2356",19
"2357",25
"2358",13
"2359",28
"2360",29
"2361",26
"2362",39
"2363",57
"2364",25
"2365",19
"2366",41
"2367",12
"2368",21
"2369",25
"2370",44
"2371",12
"2372",46
"2373",25
"2374",31
"2375",18
"2376",16
"2377",18
"2378",16
"2379",21
"2380",31
"2381",23
"2382",12
"2383",18
"2384",17
"2385",22
"2386",29
"2387",39
"2388",25
"2389",18
"2390",31
"2391",29
"2392",20
"2393",14
"2394",14
"2395",15
"2396",38
"2397",17
"2398",17
"2399",31
"2400",17
"2401",24
"2402",39
"2403",12
"2404",22
"2405",53
"2406",20
"2407",11
"2408",22
"2409",22
"2410",11
"2411",29
"2412",14
"2413",8
"2414",34
"2415",10
"2416",12
"2417",28
"2418",17
"2419",21
"2420",37
"2421",29
"2422",18
"2423",16
"2424",24
"2425",16
"2426",20
"2427",22
"2428",22
"2429",21
"2430",18
"2431",29
"2432",19
"2433",15
"2434",17
"2435",20
"2436",38
"2437",17
"2438",36
"2439",44
"2440",29
"2441",23
"2442",27
"2443",14
"2444",15
"2445",18
"2446",30
"2447",18
"2448",24
"2449",21
"2450",72
"2451",20
"2452",28
"2453",32
"2454",18
"2455",46
"2456",29
"2457",33
"2458",15
"2459",8
"2460",16
"2461",14
"2462",20
"2463",32
"2464",21
"2465",22
"2466",25
"2467",18
"2468",21
"2469",17
"2470",27
"2471",19
"2472",31
"2473",19
"2474",35
"2475",18
"2476",34
"2477",15
"2478",29
"2479",34
"2480",14
"2481",12
"2482",14
"2483",30
"2484",44
"2485",22
"2486",30
"2487",16
"2488",16
"2489",10
"2490",17
"2491",17
"2492",26
"2493",22
"2494",13
"2495",30
"2496",23
"2497",15
